State,Year,gdp,inc,exp
Alabama,0,39776,29230,26574
Alaska,0,75135,39761,37054
Arizona,0,46194,31905,29996
Arkansas,0,37265,27954,25241
California,0,58030,37690,34297
Colorado,0,55076,36538,34575
Connecticut,0,74031,48055,41324
Delaware,0,70244,36601,34537
District of Columbia,0,179241,50581,51037
Florida,0,45507,35303,32081
Georgia,0,48456,31382,28693
Hawaii,0,54110,36113,33736
Idaho,0,39003,29033,27282
Illinois,0,56137,37011,33665
Indiana,0,46934,30169,28754
Iowa,0,50764,32766,29016
Kansas,0,48735,33397,29409
Kentucky,0,40376,28197,26398
Louisiana,0,53620,32374,27969
Maine,0,40693,31884,34366
Maryland,0,55204,40854,36097
Massachusetts,0,63433,42346,41999
Michigan,0,44109,30961,30307
Minnesota,0,54388,36262,34875
Mississippi,0,34219,26940,23957
Missouri,0,44905,31422,30256
Montana,0,41856,30159,30902
Nebraska,0,52364,34246,30963
Nevada,0,55517,35692,33209
New Hampshire,0,50054,39971,39294
New Jersey,0,60708,43364,40504
New Mexico,0,43471,28666,27454
New York,0,62864,39320,36810
North Carolina,0,47865,31955,27254
North Dakota,0,48509,32758,31931
Ohio,0,47077,31263,30549
Oklahoma,0,42776,31427,26107
Oregon,0,45968,31624,32221
Pennsylvania,0,48712,35334,33563
Rhode Island,0,49264,36219,34209
South Carolina,0,39398,28879,27153
South Dakota,0,48075,35405,30770
Tennessee,0,43518,30935,27860
Texas,0,53470,32928,29162
Utah,0,47925,29216,28440
Vermont,0,42987,34685,35454
Virginia,0,55090,38581,34527
Washington,0,58531,38560,34578
West Virginia,0,36271,26651,25576
Wisconsin,0,47754,33362,31574
Wyoming,0,75410,39654,33889
Alabama,1,38687,32805,28818
Alaska,1,78952,49446,41743
Arizona,1,40929,32842,30410
Arkansas,1,36836,33039,28185
California,1,56510,42904,36757
Colorado,1,52674,40429,35887
Connecticut,1,67825,55792,43826
Delaware,1,67720,39402,37547
District of Columbia,1,177559,58825,53370
Florida,1,39865,37299,34423
Georgia,1,44855,33560,30264
Hawaii,1,52755,40710,38020
Idaho,1,36209,32093,29001
Illinois,1,55944,40556,36236
Indiana,1,45513,35648,31621
Iowa,1,51119,38660,32709
Kansas,1,48688,40739,31926
Kentucky,1,40193,32373,29330
Louisiana,1,50777,36985,30431
Maine,1,39823,36499,37958
Maryland,1,56875,47014,38921
Massachusetts,1,66686,49710,45318
Michigan,1,42321,35109,33613
Minnesota,1,54736,42157,38361
Mississippi,1,33385,30793,26777
Missouri,1,44612,36248,34076
Montana,1,41847,36387,34684
Nebraska,1,55182,42116,34781
Nevada,1,46663,36042,35300
New Hampshire,1,51116,46515,43554
New Jersey,1,58762,48852,43554
New Mexico,1,41969,32837,30227
New York,1,67565,46227,40742
North Carolina,1,45087,35192,29275
North Dakota,1,73227,49457,42330
Ohio,1,46829,36385,34215
Oklahoma,1,45429,37678,29423
Oregon,1,44753,35197,34009
Pennsylvania,1,50232,41158,37225
Rhode Island,1,48967,41628,37188
South Carolina,1,37177,32447,29416
South Dakota,1,52119,41554,35890
Tennessee,1,43961,36437,30007
Texas,1,54108,39458,32455
Utah,1,45112,32592,29789
Vermont,1,46139,41214,40791
Virginia,1,54361,43985,38011
Washington,1,58121,43445,37381
West Virginia,1,37374,31982,30181
Wisconsin,1,47963,38547,34768
Wyoming,1,66686,47687,36886
